"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1161","Проверка выбора города","","Tue Jan 28 17:11:16 GMT 2025","broken","Tue Jan 28 17:11:17 GMT 2025","","tests.Tests","tests.Tests","testFilterCity"
"","1162","Проверка отправки заявки со значениями 9: Иванов Иван, 01.01.1999, 9999999999, false","","Tue Jan 28 17:11:12 GMT 2025","broken","Tue Jan 28 17:11:14 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","12085","Проверка отправки заявки со значениями 1: , 01.01.1999, 9999999999, true","","Tue Jan 28 17:10:52 GMT 2025","broken","Tue Jan 28 17:11:04 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1169","Проверка отправки заявки со значениями 7: Иванов Иван, 01.01.1999, , true","","Tue Jan 28 17:11:10 GMT 2025","broken","Tue Jan 28 17:11:11 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1171","Проверка отправки заявки со значениями 4: Иванов Иван, , 9999999999, true","","Tue Jan 28 17:11:06 GMT 2025","broken","Tue Jan 28 17:11:08 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1172","Проверка отправки заявки со значениями 2: Ivanov Ivan, 01.01.1999, 9999999999, true","","Tue Jan 28 17:11:04 GMT 2025","broken","Tue Jan 28 17:11:05 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1175","Проверка отправки заявки со значениями 3: Иванов , 01.01.1999, 9999999999, true","","Tue Jan 28 17:11:05 GMT 2025","broken","Tue Jan 28 17:11:06 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1163","Проверка отправки заявки со значениями 8: Иванов Иван, 01.01.1999, 999999, true","","Tue Jan 28 17:11:11 GMT 2025","broken","Tue Jan 28 17:11:12 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1172","Проверка калькулятора рефинансирования кредитов","","Tue Jan 28 17:11:15 GMT 2025","broken","Tue Jan 28 17:11:16 GMT 2025","","tests.Tests","tests.Tests","testRefinanceCalculator"
"","1158","Проверка фильтра круглосуточной работы на странице 'Офисы и банкоматы'","","Tue Jan 28 17:11:14 GMT 2025","broken","Tue Jan 28 17:11:15 GMT 2025","","tests.Tests","tests.Tests","testFilterAllHoursWorking"
"","1166","Проверка отправки заявки со значениями 5: Иванов Иван, 13.01, 9999999999, true","","Tue Jan 28 17:11:08 GMT 2025","broken","Tue Jan 28 17:11:09 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1163","Проверка отправки заявки со значениями 6: Иванов Иван, 28.01.2008, 9999999999, true","","Tue Jan 28 17:11:09 GMT 2025","broken","Tue Jan 28 17:11:10 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
