"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14498","Проверка работы калькулятора рефинансирования кредитов","","Thu Jan 23 12:04:12 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceCalculator"
"","1304","[9] Э В, 23.01.2004, , true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1191","[10] Э В, 23.01.2004, ффф, true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1294","[5] Э В, , 9999999999, true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1283","[7] Э В, 13.01, 9999999999, true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1325","[8] Э В, 23.01.2008, 9999999999, true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","19233","Проверка работы фильтра на странице 'Офисы и банкоматы'","","Thu Jan 23 12:04:07 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testFilterAllHoursWorking"
"","14392","[3] 1 2, 23.01.2004, 9999999999, true","","Thu Jan 23 12:04:12 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1185","[12] Э В, 23.01.2004, 9999999999, false","","Thu Jan 23 12:04:28 GMT 2025","broken","Thu Jan 23 12:04:29 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","19234","[4] Э , 23.01.2004, 9999999999, true","","Thu Jan 23 12:04:07 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","19233","Проверка выбора города","","Thu Jan 23 12:04:07 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testFilterCity"
"","1189","[6] Э В, aaa, 9999999999, true","","Thu Jan 23 12:04:27 GMT 2025","broken","Thu Jan 23 12:04:28 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","14496","[1] , 23.01.2004, 9999999999, true","","Thu Jan 23 12:04:12 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","1180","[11] Э В, 23.01.2004, 999999, true","","Thu Jan 23 12:04:28 GMT 2025","broken","Thu Jan 23 12:04:29 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
"","14496","[2] u t, 23.01.2004, 9999999999, true","","Thu Jan 23 12:04:12 GMT 2025","broken","Thu Jan 23 12:04:27 GMT 2025","","tests.TestFilterCity","tests.TestFilterCity","testRefinanceForm"
